type,name,res_id,src,value,fuzzy
field,"ldap.connection,active_directory",0,Active Directory,Активна директория,0
field,"ldap.connection,bind_dn",0,Bind DN,DN,0
field,"ldap.connection,bind_pass",0,Bind Pass,Парола,0
field,"ldap.connection,port",0,Port,Порт,0
field,"ldap.connection,rec_name",0,Name,Име,0
field,"ldap.connection,secure",0,Secure,Кодирана,0
field,"ldap.connection,server",0,Server,Сървър,0
field,"ldap.connection,uri",0,URI,URI,0
help,"ldap.connection,bind_dn",0,LDAP DN used to bind,Използван LDAP DN ,0
help,"ldap.connection,bind_pass",0,LDAP password used to bind,LDAP парола за свързване,0
help,"ldap.connection,port",0,LDAP server port,Порт на LDAP сървъра,0
help,"ldap.connection,secure",0,LDAP secure connection,Кодирана LDAP връзка,0
help,"ldap.connection,server",0,LDAP server name,Име на LDAP сървър,0
model,"ir.action,name",act_connection_form,Connection,Връзка,0
model,"ir.action,name",wizard_test_connection,Test LDAP Connection,Тестово LDAP свързване,0
model,"ir.ui.menu,name",menu_administration,LDAP,LDAP,0
model,"ir.ui.menu,name",menu_connection,Connection,Връзка,0
model,"ldap.connection,name",0,LDAP Connection,LDAP свързване,0
model,"ldap.test_connection.init,name",0,Test Connection - Init,Начало на тестово свързване,0
selection,"ldap.connection,secure",0,Never,Никога,0
selection,"ldap.connection,secure",0,SSL,SSL,0
selection,"ldap.connection,secure",0,TLS,TLS,0
view,ldap.connection,0,LDAP Connection,LDAP свързване,0
view,ldap.connection,0,_Test Connection,Тестово свързване,0
view,ldap.test_connection.init,0,Test Connection Succeed!,Тестовото свързване успешно!,0
view,ldap.test_connection.init,0,Test LDAP Connection,Тестово LDAP свързване,0
wizard_button,"ldap.test_connection,init,end",0,Ok,Добре,0
