type,name,res_id,src,value,fuzzy
field,"ldap.connection,active_directory",0,Active Directory,Active Directory,0
field,"ldap.connection,bind_dn",0,Bind DN,Bind DN,0
field,"ldap.connection,bind_pass",0,Bind Pass,Bind Passwort,0
field,"ldap.connection,port",0,Port,Port,0
field,"ldap.connection,rec_name",0,Name,Name,0
field,"ldap.connection,secure",0,Secure,Sicherheit,0
field,"ldap.connection,server",0,Server,Server,0
field,"ldap.connection,uri",0,URI,URI,0
help,"ldap.connection,bind_dn",0,LDAP DN used to bind,LDAP DN für die Verbindung,0
help,"ldap.connection,bind_pass",0,LDAP password used to bind,LDAP Passwort für die Verbindung,0
help,"ldap.connection,port",0,LDAP server port,Passwort für den LDAP-Server,0
help,"ldap.connection,secure",0,LDAP secure connection,Sicherheit für die Verbindung zum LDAP-Server,0
help,"ldap.connection,server",0,LDAP server name,Name des LDAP-Servers,0
model,"ir.action,name",act_connection_form,Connection,Verbindung,0
model,"ir.action,name",wizard_test_connection,Test LDAP Connection,Verbindungstest LDAP,0
model,"ir.ui.menu,name",menu_administration,LDAP,LDAP,0
model,"ir.ui.menu,name",menu_connection,Connection,Verbindung,0
model,"ldap.connection,name",0,LDAP Connection,LDAP Verbindung,0
model,"ldap.test_connection.init,name",0,Test Connection - Init,Verbindungstest - Init,0
selection,"ldap.connection,secure",0,Never,Keine,0
selection,"ldap.connection,secure",0,SSL,SSL,0
selection,"ldap.connection,secure",0,TLS,TLS,0
view,ldap.connection,0,LDAP Connection,LDAP Verbindung,0
view,ldap.connection,0,_Test Connection,Verbindungs_test,0
view,ldap.test_connection.init,0,Test Connection Succeed!,Verbindungstest erfolgreich!,0
view,ldap.test_connection.init,0,Test LDAP Connection,Verbindungstest LDAP,0
wizard_button,"ldap.test_connection,init,end",0,Ok,OK,0
