type,name,res_id,src,value,fuzzy
field,"ldap.connection,active_directory",0,Active Directory,Directorio activo,0
field,"ldap.connection,bind_dn",0,Bind DN,DN de enlace,0
field,"ldap.connection,bind_pass",0,Bind Pass,Contraseña de enlace,0
field,"ldap.connection,port",0,Port,Puerto,0
field,"ldap.connection,rec_name",0,Name,Nombre,0
field,"ldap.connection,secure",0,Secure,Segura,0
field,"ldap.connection,server",0,Server,Servidor,0
field,"ldap.connection,uri",0,URI,URI,0
help,"ldap.connection,bind_dn",0,LDAP DN used to bind,DN LDAP usado para enlazar,0
help,"ldap.connection,bind_pass",0,LDAP password used to bind,Contraseña LDAP usada para enlazar,0
help,"ldap.connection,port",0,LDAP server port,Puerto del servidor LDAP,0
help,"ldap.connection,secure",0,LDAP secure connection,Conexión LDAP segura,0
help,"ldap.connection,server",0,LDAP server name,Nombre del servidor LDAP,0
model,"ir.action,name",act_connection_form,Connection,Conexión,0
model,"ir.action,name",wizard_test_connection,Test LDAP Connection,Probar conexión LDAP,0
model,"ir.ui.menu,name",menu_connection,Connection,Conexión,0
model,"ir.ui.menu,name",menu_administration,LDAP,LDAP,0
model,"ldap.connection,name",0,LDAP Connection,Conexión LDAP,0
model,"ldap.test_connection.init,name",0,Test Connection - Init,Prueba de conexión - Iniciar,0
selection,"ldap.connection,secure",0,Never,Nunca,0
selection,"ldap.connection,secure",0,SSL,SSL,0
selection,"ldap.connection,secure",0,TLS,TLS,0
view,ldap.connection,0,LDAP Connection,Conexión LDAP,0
view,ldap.connection,0,_Test Connection,_Probar conexión,0
view,ldap.test_connection.init,0,Test Connection Succeed!,El test de conexión finalizó correctamente,0
view,ldap.test_connection.init,0,Test LDAP Connection,Probar conexión LDAP,0
wizard_button,"ldap.test_connection,init,end",0,Ok,Aceptar,0
